id,name,description,iconSrc,priority,whyMatters
yaw-bearing,Yaw Bearing,"A massive slewing ring bearing connecting the nacelle to the tower, allowing the housing to rotate so the blades always face the wind.",icon_grid_yaw_bearing.svg,1,Materials — keeps a large precision-machined alloy-steel ring in use instead of reducing it to low-value scrap or disposal.
yaw-control-gear-motor,Yaw Control Gear Motor,"A powerful motor and heavy-duty gearbox that engages the Yaw Bearing to rotate the turbine's entire head, keeping it facing into the wind.",icon_grid_yaw_control_gear_motor.svg,1,"Energy — preserves the machining, heat-treatment, winding and assembly effort already invested in a complex electromechanical unit."
yaw-controller,Yaw Controller,"The electronic brain"" that controls the yaw system. It takes information from wind sensors and tells the yaw motor when and how much to turn to keep the turbine facing the wind.""",icon_grid_yaw_controller.svg,1,Waste avoided — prevents a functional electronics module from becoming e-waste and keeps small but valuable copper and precious-metal content recoverable.
accumulators-small,Accumulators (small),"A compact device that stores hydraulic fluid under pressure. It acts like a hydraulic battery and shock absorber for smaller systems, providing a burst of power when needed and smoothing out pressure spikes.",icon_grid_accumulators_small.svg,2,"Materials — keeps a certified pressure shell, fittings and elastomer system in service where safe requalification is possible."
automatic-lubrication-pump-with-reservoir,Automatic Lubrication Pump with reservoir,"A self-contained electric pump and grease/oil container that automatically lubricates a machine's moving parts at set intervals, reducing the need for manual maintenance.",icon_grid_automatic_lubrication_pump_with_reservoir.svg,1,"Energy — protects a fully assembled service system whose value is in manufacturing, motor winding, pump tolerances and fluid handling hardware."
axial-fan,Axial Fan,"A large, propeller-like fan that moves air straight through the turbine's housing to cool down the generator and other critical components inside the nacelle.",icon_grid_axial_fan.svg,1,"Energy — preserves a complete cooling device rather than scrapping separate metal, motor and polymer parts."
blade-pitch-bearing,Blade (pitch) Bearing,"A large precision bearing that allows an entire wind turbine blade to rotate along its own axis. This pitching"" motion is used to control the turbine's speed and power generation.""",icon_grid_blade_pitch_bearing.svg,1,Materials — keeps a very large precision bearing and high-grade steel mass in use.
bladder-accumulator,Bladder Accumulator,A high-capacity hydraulic energy storage unit using a flexible bladder. It's like a high-pressure cushion that smooths out surges and ensures a steady supply of fluid power to large systems.,icon_grid_bladder_accumulator.svg,2,Materials — preserves a pressure-rated vessel and avoids replacing high-pressure steel and elastomer hardware.
capacitors-epocs,Capacitors Epocs,"Large, heavy-duty electronic components that store and release electrical energy quickly. They improve power quality in the turbine's electrical system and provide surge protection.",icon_grid_capacitors_epocs.svg,2,"Waste avoided — keeps aluminium, polymer film and terminal metals from entering mixed e-waste and protects the manufacturing effort in wound film capacitors."
capacitor-03,Capacitor-03,A mid-sized capacitor used in power electronics to stabilize electrical signals and store small amounts of energy. Often found in motor drives and power circuits.,icon_grid_capacitor-03.svg,2,Waste avoided — prevents a small but material-rich electrical component from becoming mixed e-waste.
capacitor-41,Capacitor-41,A variant of power capacitor used in control systems and power circuits for filtering and energy storage.,icon_grid_capacitor-41.svg,2,Waste avoided — keeps useful aluminium and engineered dielectric material from becoming low-value disposal burden.
centrifugal-blower,Centrifugal Blower,"A fan that spins air outward from its center, creating strong airflow for cooling or ventilation in tight spaces within the turbine system.",icon_grid_centrifugal_blower.svg,1,"Energy — preserves a complete air-moving machine and the embedded manufacturing in the motor, impeller balancing and housing."
choke,Choke,An electrical component that smooths out electrical current fluctuations. It protects sensitive electronics by filtering out electrical noise and spikes.,icon_grid_choke.svg,2,Mining pressure — reduces demand for new copper conductors and magnetic core materials.
circuit-breaker,Circuit breaker,"An automatic safety switch that cuts off electrical power if it detects dangerous conditions like overload or short circuits, protecting the turbine's electrical system.",icon_grid_circuit_breaker.svg,2,"Waste avoided — tested reuse or controlled recovery prevents copper contacts, metals and thermoset plastics from becoming mixed electrical waste."
composite-turbine-blade,Composite Turbine Blade,"A section from a wind turbine blade. It's an advanced composite structure, shaped for perfect aerodynamics, and is both incredibly strong and surprisingly lightweight.",icon_grid_turbine_blade.svg,1,"Waste avoided — composite blades are durable but difficult to recycle cost-effectively, so reuse prevents a large engineered composite from becoming landfill or low-value downcycling."
construction-light,Construction Light,"A rugged, industrial-grade work light designed to withstand harsh conditions on job sites or in industrial environments.",icon_grid_construction_light.svg,2,"Public value — can become workshop, emergency, school, construction or community lighting while avoiding premature e-waste."
cooling-station,Cooling Station,"A complete cooling system unit that regulates temperature for critical turbine components, typically using liquid coolant circulation.",icon_grid_cooling_station.svg,1,"Energy — preserves a complex thermal-management system with high manufacturing value in pumps, motors and heat-transfer surfaces."
ct-modules-controllers,CT modules (controllers),"Electronic control modules that manage various turbine subsystems, processing sensor data and sending commands to motors and actuators.",icon_grid_ct_modules_controllers.svg,2,Waste avoided — keeps industrial electronics and recoverable conductor metals out of mixed e-waste.
cup-anemometer,Cup Anemometer,A wind speed measuring device with spinning cups. The turbine uses its data to optimize blade pitch and yaw direction for maximum energy capture.,icon_grid_cup_anemometer.svg,2,"Public value — can be reused for education, local weather monitoring, farms, maker labs or community wind mapping."
current-transformer,Current Transformer,"A sensor that measures the amount of electrical current flowing through a circuit without making direct contact, enabling safe monitoring of high-power systems.",icon_grid_current_transformer.svg,2,"Mining pressure — keeps copper and electrical/magnetic steel in service, both important materials for electrification and grid equipment."
electrical-motor,Electrical Motor,"A motor that converts electrical energy into mechanical motion, used throughout the turbine for various functions like pumps, fans, and actuators.",icon_grid_electrical_motor.svg,1,"Materials — motors are concentrated stores of recyclable copper, steel and iron, and repair/reuse retains much more value than shredding."
ethernet-rail-switch,Ethernet Rail Switch,"A network switch designed for industrial environments, mounted on a DIN rail. It connects various control systems and sensors for data communication.",icon_grid_ethernet_rail_switch.svg,2,"Waste avoided — avoids e-waste from a high-function industrial electronics module and supports reuse in controls, labs and training rigs."
filter,Filter,"A device that removes contaminants from hydraulic fluid, air, or other fluids to protect sensitive components and maintain system efficiency.",icon_grid_filter.svg,2,Waste avoided — reusable housings and proper recovery keep contaminated filter media and metal canisters from becoming unmanaged oily waste.
flexible-busbar,Flexible Busbar,"A thick, flexible conductor that carries large electrical currents between components while accommodating movement and thermal expansion.",icon_grid_flexible_busbar.svg,2,"Mining pressure — keeps high-conductivity copper or aluminium in use, reducing pressure for virgin conductor metals."
fuse,Fuse,A sacrificial safety device that protects electrical circuits by breaking the connection when current exceeds safe levels.,icon_grid_fuse.svg,2,"Waste avoided — even small sacrificial components contain ceramic, silica and conductive metals that should be handled intentionally rather than mixed into general waste."
gear-pump,Gear Pump,"A positive displacement pump that uses meshing gears to move hydraulic fluid with consistent pressure and flow, commonly used in lubrication systems.",icon_grid_gear_pump.svg,1,"Energy — preserves tight machining tolerances and a complete fluid-power device, not just raw metal."
